"Gene","KO1","KO2","KO3","KOGFP1","KOGFP2","KOGFP3","RE1","RE2","RE3","WT1","WT2","WT3","RND1","RND2","RND3"
"ABHD10",24.2054968437676,20.9986847652813,24.3859634827954,23.9901134879784,24.4384796926011,24.0760064861143,24.1740381552289,24.2792134637053,24.2140050381871,24.0657108817057,20.8008927923149,24.1589152679668,NA,19.5279713663453,20.6326731056993
"ABHD11",22.8382927645087,22.736338959696,22.6366954168908,22.785574991776,22.7065135130472,22.8025319447779,22.6967580883805,22.6465934264144,22.7184632664278,22.7227466728582,22.8113682253399,22.6949890676534,NA,20.7034195058443,26.4408238406856
"ABHD12",22.9249085275956,23.147705991117,19.8533141247431,23.3223373555418,23.3074319439948,23.2313779425359,23.3169882858041,23.421187542445,23.3847680752753,16.6609986538225,23.3222324032901,23.3710397172688,19.7144568344706,22.4915160015296,21.6410317004722
"ABHD13",21.024756192717,NA,NA,20.8722645555225,NA,20.1610482089705,17.5534643056335,20.320542763257,21.1693084839099,20.706791085824,NA,20.4869292712092,19.7887916022446,21.6581391188109,24.1026004946016
"ABHD14B",23.2243912434023,23.6782004779126,23.6240826969914,23.0870696150925,23.5666161803104,23.3003356614677,22.8209979152574,22.5881566928222,23.0757929800235,23.3981752004711,23.5730421150372,23.7631493386449,22.038335966715,22.0268097831889,20.9297828508639
"ABHD15",20.6638976899035,20.1463237941477,20.4878684858924,20.5252349899562,20.2537690193257,20.2181942665236,20.5417271649244,20.6217970181912,20.4927206675184,20.492716756305,20.2785039067341,20.2092605834384,28.1891077880457,24.8672653051137,22.2604570086928
"ABHD16A",22.9615325362524,22.9215101023946,22.8024907273453,22.9101440464849,22.802697197108,22.7440546780222,22.027487927226,21.9113660191224,21.8775511297558,22.706707419167,22.5072901703627,22.6251429501002,NA,21.397317407405,21.8765042066194
"ABHD17B",20.9535897387763,20.6845988226521,20.5073223552411,20.8593853977391,20.6395977294089,20.5733651986686,20.8374169704068,20.8023854104706,20.8316969148087,20.7834435131772,17.1266238190324,20.6521429865512,19.1780447611146,22.1156463326005,20.5039994120154
"ABHD17C",21.785714264945,21.5107883089407,21.4510868229704,18.3241849424993,21.9036880746997,17.7325980601373,21.5987922007229,21.4463356994637,21.1394957704385,21.102773474856,NA,NA,19.0963265338169,23.22659858123,21.6319878676371
"ABHD2",15.2723017299119,15.2296449978497,18.508278378416,18.6484734480158,17.4261336899697,11.7850437147797,18.4363821555284,NA,17.9012027783429,18.2162153580824,15.6817599984671,18.7469308570392,21.4338996802865,22.4816940079813,19.0553539371328
"ABHD4",22.2922089965008,22.2630688592801,22.1406481895386,22.0518783696374,21.7530775684448,21.8094121360846,22.0979864478349,22.1013274909783,22.1522613194824,22.2288368884387,22.2070250476646,22.1296260766282,22.6523817615463,25.8324299445519,21.2857205368588
"ABHD5",19.7394955095996,19.5632484175963,19.3559381903139,19.9100453872847,19.6692293749676,19.5836686111438,19.6516298477278,19.764542814172,19.8416365175311,19.2066686140028,19.3880130797215,19.2352289296214,19.1054916647891,23.7889811301325,20.7306202221492
"ABHD6",20.1176646592765,20.4264572344434,20.1214702806814,20.6482645313586,20.6064648562396,20.7387206754235,20.038219735888,20.6545145379408,20.0708206286622,20.2096699173667,20.464755123105,20.1811740998301,17.0108121762503,23.111946727604,18.5198243474255
"ABI1",24.1773573353651,13.8757493514201,23.8911600455186,24.0176351398312,23.7462733026595,23.7338490692611,24.0528261403163,24.1556663556559,24.1757146112273,24.0421440416372,23.9317060696426,23.8936432479459,23.5525024749478,20.3953437617283,25.0745165059281
"ABI2",23.3725878524419,23.1934441459808,23.2093046162087,23.1869960328534,22.9608048137242,22.9442627357481,23.19379002795,23.3495665950241,23.1956553078053,23.1057013803965,23.0041029975529,22.9923623632078,23.0444386465431,NA,20.3076577615899
"ABITRAM",20.5264906425436,20.548894325803,17.2779865628681,20.7753546822853,20.7434653581248,20.5261343164613,20.4916789323633,20.3605674234868,20.6511629605187,20.5857547791905,20.6213167966511,20.8578344821915,26.5932649904338,25.3118236552407,22.070860254176
"ABL1",21.1562133395031,21.0902565320343,21.2013815181208,21.3447493882259,21.1581362854076,21.1216283671311,21.0080414695741,21.0195778339093,21.2048266307118,21.357471464153,17.9215097391974,21.2901555650134,23.5394151423455,20.0267341515542,NA
"ABL2",21.3806254076649,18.1413238555315,18.1621503480318,21.6400149594167,21.5551278543811,21.4602123961756,21.2984558596026,21.4473844492309,18.1528096729442,21.4933815103001,21.4629260731055,21.5233480236885,NA,21.9803944790429,21.4399602031955
"ABLIM1",23.0032487034001,22.9040355203863,22.7702835979187,24.5344937054018,24.4073873275054,24.4128290789689,23.5823662089672,20.2708006101807,23.5752575121959,24.0670772542939,24.0771725837674,24.0050453934743,22.0829604798423,18.5211441582079,16.9703755616384
"ABLIM3",21.6047246916677,21.5015723879745,21.4787582654426,20.8558957708197,20.6284223997565,20.5974961117853,20.8262614068058,21.0432522865181,20.9303713571753,21.1592184728265,21.1837044307812,21.0219132415473,23.1097567020225,20.9260020254488,21.6435897984522
"ABR",23.4310991651937,23.2183576241105,23.3120813756942,23.3468802447747,23.3252233686389,20.0444768354306,23.2756722708232,23.2094422099544,23.3651814495849,23.5584799215291,23.4821778343092,20.2186613756938,18.6498596071749,18.9710860157773,21.9415573939086
"ABRACL",23.0261046344868,22.7989414178738,22.9707883977331,22.3842380608231,22.8825098411917,22.9153029858095,22.5244568257316,22.4787474049794,23.0888652141396,23.0850263199207,23.4279308241515,23.5925647068651,21.6566915136112,25.3331191039117,23.5903172630999
"ABRAXAS1",20.3629765126794,20.3550649897526,20.1115305107576,20.081240260322,19.7966084377255,19.8536933294714,20.4600248680608,20.3543107299662,16.9127256394225,20.098317430448,20.0569366581332,20.029089026143,23.3385924953772,23.8864829769422,23.4367078572863
"ABRAXAS2",23.2382052894456,23.1173767715025,23.2092983683974,23.3248491160353,23.2022259282734,23.0464825818532,22.9885116862286,23.0512587355977,23.0266784382158,23.1180306186675,23.2045311457771,23.0901458640643,23.7100777459722,NA,21.3543134206092
"ABT1",23.1112598655967,22.9138614513576,22.9319746308277,23.1666428994048,23.0875269387721,22.9482445909052,23.1076174592557,22.9293174720912,23.1295694821161,22.8209404771268,22.7034957593804,22.8174394463578,NA,17.5162848290785,20.7664140583177
"ABTB2",20.4328059141498,20.3281577333547,20.1420459629011,20.8086837848926,20.4458726544356,20.4662109189362,20.6612553252856,20.5545485705829,20.6056241970073,20.9252950953761,20.703551309973,17.1590040719246,24.5430359515216,17.048007854462,20.8398757728169
"ABTB3",23.2619515694251,23.1627018701874,23.2024441653703,22.9373980677004,22.599084477813,22.6683481159692,24.0378789447137,23.8702906798873,24.0716531905799,23.6792733699377,23.5684972982276,23.6783696408501,21.1110407650338,19.7808200748932,24.3330332966597
"ACAA1",24.2829819903943,24.0967856772743,24.1115957764039,24.2588262941516,24.1151386099943,24.006928511711,23.6956214587184,23.486190203572,23.8382016689798,17.5124704259483,24.0067314090182,24.0613462222046,23.9429555188946,23.8601725473764,26.053444521621
"ACAA2",22.0380636301884,25.3496695438337,25.399167761754,25.1128864345955,25.155859448351,25.0442000681856,25.5914195643832,21.9008074892974,25.6600917811571,25.4513246041246,25.5187650659655,25.5448868372876,29.4507165838428,22.5329158970894,20.9920386664413
"ACACA",25.071075964898,25.0919079090604,25.1524426442311,25.1252408973586,25.1026281648275,25.0688638299318,25.315098034578,25.3196507960173,25.3097116687155,25.3013855287604,25.2816924707628,25.3045141918045,23.3339255245837,24.5455411551393,19.3378962485739
"ACACB",20.6351760727526,24.181264426078,24.0725687648347,23.9251589751917,20.6904132418371,20.6732719765417,17.5152609394699,24.4327156426791,17.5029871513885,24.1847179849765,23.9850623430945,24.2280752404025,23.1694522392288,23.392285581068,21.9643683682276
"ACAD10",17.2954102245947,20.5218409838536,20.5776731487715,20.8055494490944,20.7657004876511,20.6272230420282,20.7053480520433,20.6962493269755,20.9195624146653,20.5360365795874,20.5041565738334,20.4240770773822,21.7115052413263,22.7515855322489,22.8405134459269
"ACAD11",23.7334313247185,23.7381878385313,23.7242052108611,23.6091763704608,23.7074569794851,23.4508229881482,23.530423602705,23.3835860459514,23.4328710182254,20.2018606809774,23.4837315321296,23.5847757154713,23.1094565508283,19.3442417191337,26.7090842202129
"ACAD8",22.3843663993638,22.0813485250071,22.0619904535222,22.0443307449655,18.7317432907078,21.8333502990633,21.6464088493709,21.5684033585517,21.6970545178237,22.1280673442836,21.9905053077555,22.0650449652269,21.1644730289049,22.3053651486121,23.0194154557921
"ACAD9",23.2714767063043,23.2175541109149,16.6330377823646,23.1943252296287,23.2907177733439,23.099861601183,23.1676476834328,22.8866107025519,23.1934751283557,23.1670569980824,23.0504858944691,23.1505748791419,19.0313431333943,26.1302375684211,19.6618354955214
"ACADM",24.2247101377619,24.0962557472592,24.0962181807093,23.8583637184344,23.8553141053175,23.772605544336,23.9458177988909,23.6293791895859,23.8628985672443,23.9160309605824,17.1105342860979,23.8442189132037,21.5956813587424,NA,21.458748529476
"ACADS",21.9024825800518,22.0826298526395,22.0166998296238,21.4070618120986,21.3722911931929,21.2381032210932,22.2401502066915,22.0890162422148,22.3776537833907,21.6208672825127,21.6596998052887,21.7491259320253,15.2626454433036,20.448593249561,23.4540710728567
"ACADSB",23.8728863848985,23.7975459612512,23.8694544355128,23.7611354468782,23.7123389133643,23.6603035627312,23.5613406257556,23.5383310449461,23.7192804975913,23.7404919815013,23.6568788158197,23.7374255056497,20.16443926901,21.3911717273186,18.9691953785707
"ACADVL",25.4462117472323,25.3085080471749,25.4736408214422,25.2815323803187,25.3861315096233,21.7192760057049,25.332994623704,25.0676309736968,25.449038194332,25.1869427023165,25.0950340918663,25.2977423794511,24.9971753883505,20.3163721393431,19.6637995569837
"ACAP1",24.7235413282128,24.1980451033798,23.4822395169685,24.4920796370211,16.8527245604477,20.5069728809914,24.366811837679,24.1762314454403,24.3618291503249,24.5692958283714,24.2259572921421,20.3811119844183,17.725093276811,21.3815529844164,20.7949861286685
"ACAP2",22.6392002552837,22.6862004246506,22.7432623577874,22.5426318576645,22.5213852577035,22.4838467683972,19.1871563147536,22.5147564259035,22.4711750738611,19.1083177038626,22.4587723054104,19.2528525013574,22.1096990038798,26.7549338220805,25.7348580505737
"ACAT1",26.3565659134767,23.0659536514946,26.4119979566434,26.1955996683193,26.327235079639,26.2368139866829,26.2478024494807,26.1975484367466,26.2661810883423,26.0541840595579,26.1899905196598,26.0961409530377,19.3134255828782,22.885416915554,NA
"ACAT2",24.725879570029,24.3413788105116,24.4114465291919,24.8283835307818,24.5660332440028,24.3450087750108,24.489822302983,23.7679665940901,24.692144822197,24.5585384851004,24.4154766116427,24.4664247802042,21.6551494099421,23.115510131878,17.5617652636277
"ACBD3",24.3896734790739,17.6882161540167,21.1071595951313,24.317955196238,24.4426738651156,24.3148059404994,24.3603301113751,24.2510735718033,20.9803711178614,20.9804018011264,24.2922553441734,24.3763453446594,19.163462959448,21.3153469470377,25.7882141551901
"ACBD5",23.014821770727,22.8882876682232,22.9893381919813,22.8567676396584,22.8474265375703,19.4729168771766,22.8153324750949,22.8516640333223,22.9374151305175,22.7835787960894,22.7614152884163,22.8573403657992,21.7470599751482,24.8197329196268,23.2551736877295
"ACBD6",22.6513307244403,22.3930235253751,19.2051011685308,22.6880374668835,22.4561102216767,22.3481351459232,22.5516043047323,22.4575361884158,22.8170732375426,22.5199910689311,22.4920003365396,22.6127247679863,22.2584630955826,23.6957706472993,20.5507007611745
"ACBD7",20.4043339353946,20.4832647126401,20.2594881254903,20.2179683442874,20.2489733680929,20.2510870836136,17.010080035096,20.5721913481541,20.7764756035039,21.3419498387039,21.2819520936112,21.3779666793089,23.0255535816322,20.0387167496774,27.9520073086122
"ACCS",NA,NA,20.074214649565,16.7169935728851,20.0958747272198,NA,20.3774403822782,20.0137820034816,20.5206666335332,20.0263262125921,20.0588254447236,20.2443301516487,21.117588571177,21.2257087564145,NA
"ACD",20.8700312757797,20.7046357021457,17.3176775828872,20.6246446556822,20.5997231027055,20.8676490139244,20.5774942916115,20.911729173019,20.582104300699,20.6756064922392,20.7668645101924,20.5518781434367,26.4530001626281,26.6630940437248,19.3067425995776
"ACIN1",24.8330491225324,24.6144664927103,21.3745948436445,24.9513381251883,24.7612807520879,24.692030973986,21.6164851286057,24.7123488851139,24.9547512526825,24.7840350575612,24.6514637609393,24.7304334427664,NA,21.2596806325905,23.7372446606198
"ACLY",28.5011996274771,28.216431970455,21.7329031531104,25.3153290135065,25.194585805482,28.4270065691025,28.5278753989623,28.2292429116119,28.6291748733489,22.106414377224,28.6451365929218,28.6866209534256,24.3067415567624,20.6983061914798,27.4515378457987
"ACO1",21.7837468329721,25.0649260573862,25.2086833100289,24.4097785855542,24.6921407772532,24.3992040489057,24.3680247422483,20.8377310935111,24.4442190983713,24.9337375178808,21.7856145004307,25.2217668339579,19.0498432329054,22.3995460096638,20.410566252063
"ACO2",25.7807677716593,25.6092138864754,25.6699466637233,25.8133022386441,25.8075832723764,25.7267410932302,25.4904729367773,25.4068170435773,25.4752094573483,25.6347274507688,25.6651064351072,25.6045110954758,23.9640901665783,21.7513094987818,22.3525564392189
"ACOT1",24.8997377686602,21.4383055642776,24.8086968925733,24.9012861601829,24.8763951162296,24.6093176353024,24.507773291513,24.1545345282574,24.7265690895823,24.6834600116537,24.7023013796316,24.7969441930343,23.3001096725577,19.2534689642008,23.9839504651383
"ACOT11",20.6675802267575,20.5439890135205,20.4455696001356,20.6376782421909,20.4220144480855,20.3325971503688,20.8738773762582,19.8349601407344,20.8942856346856,17.5369908377402,20.5650620897397,20.1299671687548,19.7887995661023,24.2263669884937,21.6539392853384
"ACOT13",25.476457107019,25.2792492831446,25.3729037414234,24.9544237533829,24.9061982796107,24.6198371769606,25.144319789895,23.679980745569,25.2165719943597,24.7491869666846,24.4276778717821,24.7681383778545,21.8948832481904,17.6993081048698,21.9678007458637
"ACOT4",NA,23.0688745286923,23.4420236845994,NA,20.3758720015114,23.2190826789434,NA,23.3555171144597,NA,NA,23.2867567002857,20.4900341011124,22.7597990081557,19.8077291077762,17.5099450650923
"ACOT7",25.6638995081219,25.802963449191,25.8691356109002,25.4011974938181,25.9273330750231,25.5113896219838,25.8374259696765,25.5900557947374,25.934788562609,25.5769295129218,25.7104633141915,25.9364382736861,19.9858836192969,17.4195981423386,11.9038818457362
"ACOT8",22.8965389906314,19.7074754107076,22.919523863241,22.7405721677191,22.8193607139633,19.3417880872915,22.711393278391,22.7395968666938,22.7815388145206,22.7736589904851,22.7910792039511,22.8304664639469,23.4090182076591,22.4731688974558,20.0689107645178
"ACOT9",22.5666849231602,25.8276983701092,25.8190751482707,25.9733857681691,26.019992646523,25.936632750031,25.960603604964,25.7069343826797,25.9672413451234,22.3667301452777,25.6336155528928,25.6999272511286,22.6874483043868,20.0935516759713,26.0902476869868
"ACOX1",22.1588811466925,22.0471036043637,21.9739894818029,21.9252498139725,21.9145628739193,21.9016001685784,21.7352622359318,21.8388653706651,21.8566021979783,22.0922464598843,22.0717772316244,18.8226486246493,21.1307307969391,22.0643760273637,27.2367348809937
"ACOX3",21.6608059026866,21.6131464682751,21.7405499342465,21.4596372326957,21.6541709876061,18.2554573964712,21.1842234062047,21.4041020903907,21.2055665698148,18.4151640729573,21.8786313421243,18.4739395535443,26.2547877672568,28.3060852636285,24.5136149629175
"ACP1",26.7304014250879,26.4869852750405,26.6292366372138,26.5171622913536,26.5319737029663,26.1929090310404,26.4894993413017,25.9145972244611,26.5773021423942,26.2710729251943,26.1800246956791,26.3898920349938,21.3086289995532,NA,24.8456255728898
"ACP2",21.9525493080283,21.6491776604817,21.6857073856957,22.230730860424,22.411555208847,22.0425053687337,21.2764691992704,20.6888410646853,14.882977321587,21.9693331163526,21.6983702092926,22.0912239094066,23.5496389790104,24.3047236189855,22.8070531837982
"ACP6",22.2162938204466,22.2685083055286,22.1959587717921,22.0354263762311,22.0841050727739,21.8003149848236,21.9934370273322,21.9375785641203,22.1021846164599,22.4228372878842,22.4692338992023,22.515688049436,21.2915366473593,21.1946486597776,22.2467391490255
"ACSF2",23.2073317902445,23.0529111098953,23.0297778928052,23.106883497338,22.8671280765139,22.7900571048269,23.2220677306951,22.9475695240541,23.4229869963136,22.8823437801715,22.7798854381708,22.7739792595037,22.4163841826395,21.1095864699236,21.2794626578741
"ACSF3",23.7045386130185,23.9718086596907,23.9278633929058,23.7586044653744,23.7765739940696,23.5573875059076,23.6608583352858,23.4529589530614,23.6959962590833,23.7612552841459,23.7568246366343,23.7515741936463,20.2615233778264,18.8881427143509,26.4576625997569
"ACSL1",23.0848799004089,22.9388218491489,22.96641162901,23.1954379937772,23.2387612893298,22.9481583083659,19.4948712061045,22.6278170579675,22.7444661759352,22.9165608701976,22.854841186715,22.9966443305434,22.5183887860288,20.9213412058277,19.5607265209901
"ACSL3",25.2442479722925,25.5330502401578,25.482671314066,24.8275107600188,24.7931067417957,24.9939756568466,25.533740538276,25.7793662399636,22.1985172823101,25.1918933878328,25.2597829454063,25.1992109925487,19.877270651337,21.7873059722088,19.0306725239305
"ACSL4",23.5813707044966,23.5950206751453,23.7797006220219,23.423417690222,23.5154663289742,23.4323729164176,23.5628646160821,23.4042712993303,20.2753390807818,24.3228672271858,21.0875949178803,24.5009312688355,19.8523938724313,18.9611020246848,23.2243339777299
"ACSM3",20.835805244283,20.9269286221195,20.8493959374593,21.4819851359605,21.6322240097332,21.3191169499597,21.4055460962771,21.2126311518389,21.4473486286824,20.9076916747284,20.9752882241315,21.0709031532987,20.1313269629557,23.8143091317942,22.9021400976756
"ACSS1",22.5561533233297,22.3085703993228,22.4352923055722,22.4790988475736,22.2999659318976,22.2432353010799,22.424534612113,22.6062793657715,22.5003658537038,22.0355874657272,21.9543230615802,21.9897274509651,20.992153490273,22.9274595181897,19.8532684306979
"ACSS2",21.8603527372131,21.7138743805095,21.8137040920098,21.3312728831387,21.3164411961901,21.0636011320066,21.4570426476543,21.268300408515,21.6027274047865,21.731334777266,21.6195658093012,21.7540752096715,NA,28.7691524042316,22.9497814805258
"ACTA1",25.3019643043215,24.9424918649739,25.1525232600778,24.8457199809025,24.2622816277251,24.3367333196686,24.1695190652818,25.7305849048717,24.9040408968645,25.4255042149729,23.7471854955652,25.4454432455711,19.4470307454145,24.5021945836778,17.6615554424678
"ACTB",30.9102954491807,30.3587330900793,30.5252928975131,30.7393484836096,30.15509416126,30.106481479674,30.5139283090351,29.9742294698906,30.7008740057025,30.7014494047905,30.2888325834896,30.5094814998808,22.8209404771268,18.9621560820553,20.1908410563618
"ACTBL2",24.0784885707567,23.8345333526978,23.9310134758,24.0092155175913,23.7004129415168,23.4833719899321,24.2145334612743,24.2635829118752,20.5501605714401,24.2122638534488,23.8694286421945,24.1159282970758,NA,21.0713713584872,23.4367285685674
"ACTC1",23.796988390294,27.067320132827,27.0181047755391,27.3821633456167,23.6297405871297,23.9463404517623,27.6262632538719,27.791056039503,27.5036715954038,27.6981599812075,27.4574632483377,27.5060496055804,23.2240405475054,17.3651946682401,24.725456442657
