gene	Sample_1-1	Sample_1-2	Sample_1-3	Sample_1-4	Sample_2-1	Sample_2-2	Sample_2-3	Sample_2-4
Gene_0110	31	49	21	34	145	101	153	172
Gene_0111	1692	544	961	1041	728	1418	625	1231
Gene_0112	2217	1660	1941	1906	923	1492	1826	1722
Gene_0113	512	607	517	802	727	641	477	660
Gene_0114	547	348	392	283	541	305	342	602
Gene_0115	101	178	80	161	39	35	25	30
Gene_0116	138	267	485	328	214	430	346	281
Gene_0117	381	712	638	682	650	678	482	622
Gene_0118	36	21	11	28	33	21	42	31
Gene_0119	12	9	12	18	18	18	14	20
Gene_0120	589	697	513	621	267	192	152	122
Gene_0121	255	207	224	190	183	124	238	321
Gene_0122	545	701	502	1188	800	702	902	949
Gene_0123	420	569	320	380	1490	1077	1479	1648
Gene_0124	274	261	196	166	205	252	216	111
Gene_0125	6686	8858	7830	7539	5179	6340	6923	6870
Gene_0126	8	4	4	4	1	1	2	3
Gene_0127	8377	5934	5059	5149	5691	5652	5574	6322
Gene_0128	0	0	1	0	0	1	1	1
Gene_0129	1	1	2	4	4	1	6	1
Gene_0130	63	77	83	57	49	53	70	62
Gene_0131	188	211	137	158	192	179	189	329
Gene_0132	714	1015	779	1010	211	279	156	182
Gene_0133	5961	5525	6215	3945	3543	5113	5658	3706
Gene_0134	60	105	64	69	106	108	81	74
Gene_0135	123	92	94	123	78	93	140	160
Gene_0136	5390	6545	6265	4134	5906	5693	4322	5206
Gene_0137	0	0	0	1	2	0	1	0
Gene_0138	313	267	262	370	1661	1407	1491	1671
Gene_0139	9558	9383	6956	10644	6036	8776	5202	7184
Gene_0140	43	69	54	44	88	33	85	54
Gene_0141	396	376	265	268	358	430	476	338
Gene_0142	32	40	38	28	28	24	28	31
Gene_0143	8	6	15	17	15	11	9	11
Gene_0144	135	129	185	158	452	402	567	542
Gene_0145	3	3	1	6	3	3	3	5
Gene_0146	4847	3130	4824	2477	2957	4625	3308	2498
Gene_0147	154	114	127	138	122	95	94	158
Gene_0148	263	243	186	246	740	924	738	795
Gene_0149	1154	1127	519	595	379	455	441	441
Gene_0150	172	240	212	258	270	306	230	215
Gene_0151	38	41	32	42	25	40	30	52
Gene_0152	890	657	926	984	570	975	587	1010
Gene_0153	5	8	5	11	0	4	10	2
Gene_0154	16286	12909	9810	10288	12831	12981	13085	13677
Gene_0155	7	15	13	14	10	9	9	18
Gene_0156	7	12	10	11	13	15	10	15
Gene_0157	286	256	390	209	291	235	224	245
Gene_0158	435	648	540	617	868	549	740	723
Gene_0159	41	49	43	53	26	67	69	70
Gene_0160	260	157	202	248	235	165	185	268
Gene_0161	1478	1842	1868	2699	2007	2383	1306	1360
Gene_0162	18	18	10	19	13	11	9	22
Gene_0163	4	2	3	4	5	7	6	3
Gene_0164	246	231	540	590	176	214	197	196
Gene_0165	1	5	1	3	3	4	0	3
Gene_0166	0	1	0	0	1	0	0	1
Gene_0167	2173	3497	4314	3746	4141	3937	4407	2632
Gene_0168	133	84	71	43	421	451	326	347
Gene_0169	27	17	19	19	18	18	17	43
Gene_0170	68	39	30	25	32	49	38	23
Gene_0171	281	278	162	191	219	210	163	189
Gene_0172	107	84	81	87	66	117	122	115
Gene_0173	799	623	652	763	788	893	783	737
Gene_0174	1641	2186	3469	2610	1431	841	832	802
Gene_0175	601	663	562	447	718	562	679	511
Gene_0176	0	0	0	1	1	0	0	0
Gene_0177	178	255	149	220	309	186	255	203
Gene_0178	0	1	1	0	0	1	1	0
Gene_0179	24	18	14	23	31	27	15	16
Gene_0180	221	278	324	237	289	199	204	363
Gene_0181	509	643	550	420	434	480	496	605
Gene_0182	417	373	462	486	244	523	442	368
Gene_0183	3	5	4	5	2	7	3	3
Gene_0184	12	20	10	21	11	23	11	26
Gene_0185	17	26	29	27	33	23	32	54
Gene_0186	161	135	131	132	153	91	150	222
Gene_0187	93	158	113	126	51	56	23	27
Gene_0188	58	70	92	85	87	62	69	54
Gene_0189	18	8	10	11	4	7	4	4
Gene_0190	251	333	411	347	388	370	423	290
Gene_0191	255	309	199	443	253	323	310	238
Gene_0192	0	0	0	0	0	0	0	0
Gene_0193	0	1	0	1	0	0	0	1
Gene_0194	10	11	10	3	29	16	22	26
Gene_0195	0	0	3	1	1	2	1	0
Gene_0196	80	85	41	81	15	29	13	26
Gene_0197	799	825	881	1032	713	961	596	855
Gene_0198	738	963	759	592	206	241	299	214
Gene_0199	1361	1079	1472	1434	1341	1249	1214	906
Gene_0200	1	3	0	0	1	0	2	1
Gene_0201	5	5	4	8	8	3	2	6
Gene_0202	51	45	111	35	47	67	60	38
Gene_0203	1	0	0	0	1	1	0	1
Gene_0204	0	2	6	0	2	3	1	3
Gene_0205	512	576	497	405	2983	2361	2620	2235
Gene_0206	24	35	17	33	17	8	15	10
Gene_0207	27	29	15	28	27	25	15	28
Gene_0208	162	211	209	190	122	145	227	129
Gene_0209	18	29	18	39	44	42	27	33
Gene_0210	1180	3125	2457	2558	2122	2308	3122	2884
Gene_0211	3387	4242	2853	2861	3636	2488	3491	2698
Gene_0212	5	6	14	9	11	7	8	21
Gene_0213	1589	2438	2241	1695	3056	1793	1905	2935
Gene_0214	43	35	58	28	37	40	29	43
Gene_0215	132222	111132	104665	99495	125329	100556	75368	137947
Gene_0216	418	253	242	264	378	337	347	267
Gene_0217	169	256	172	142	229	323	197	349
Gene_0218	10615	10962	9482	11995	35046	35357	34481	23159
Gene_0219	88	85	102	96	443	321	530	879
Gene_0220	6294	8060	4855	5255	7525	4560	4485	3629
Gene_0221	19	18	12	21	12	22	10	20
Gene_0222	12	9	9	6	7	13	4	16
Gene_0223	2954	2788	2066	3650	1695	2095	1632	1030
Gene_0224	77	64	64	57	48	48	62	84
Gene_0225	29	27	52	25	47	50	47	39
Gene_0226	231	149	228	233	108	124	161	76
Gene_0227	56	38	61	55	50	32	57	78
Gene_0228	31	19	37	14	10	37	19	26
Gene_0229	6814	4894	4206	5417	5853	6169	6252	6363
Gene_0230	11625	10530	10455	7346	10714	11044	9156	10844
Gene_0231	672	687	1218	939	1152	674	975	1115
Gene_0232	94	80	108	46	64	93	76	97
Gene_0233	1629	1871	1719	1201	1736	1627	957	1811
Gene_0234	0	0	0	0	0	0	0	0
Gene_0235	158137	188682	131479	84697	130845	165087	155601	80151
Gene_0236	129	118	111	188	150	119	253	146
Gene_0237	180663	163130	191335	233841	268478	224999	161690	116947
Gene_0238	289	314	310	332	818	1048	1275	750
Gene_0239	61	27	53	59	56	61	37	44
Gene_0240	6	12	5	4	10	5	9	11
Gene_0241	87555	61153	106577	69871	92358	73113	68253	82978
Gene_0242	1092	1087	1014	1087	1171	1311	1423	1050
Gene_0243	314	450	424	426	242	347	308	384
Gene_0244	2913	2371	1961	1625	2666	2130	3294	1742
Gene_0245	1374	1389	2305	1185	933	879	1295	799
Gene_0246	28	10	12	14	8	16	11	10
Gene_0247	321	333	291	407	225	350	439	369
Gene_0248	357	276	321	295	643	353	491	310
Gene_0249	0	0	0	0	0	0	0	0
Gene_0250	22	13	33	18	25	10	22	19
Gene_0251	1	2	1	3	0	1	1	0
Gene_0252	10465	9201	12949	10928	31581	42924	66719	32666
Gene_0253	482	436	299	268	1638	1479	2324	1191
Gene_0254	0	0	0	0	1	1	0	1
Gene_0255	1633	1359	1748	1434	1230	1920	926	1032
Gene_0256	116	99	70	77	79	110	91	58
Gene_0257	4041	1401	2734	3401	2265	2518	3083	3362
Gene_0258	11	8	10	3	5	10	5	7
Gene_0259	14	10	3	11	6	7	12	2
Gene_0260	2	0	1	2	1	1	1	2
Gene_0261	11754	10893	9695	8986	10665	8308	10769	8794
Gene_0262	3328	4167	3255	3386	3589	5825	4114	3292
Gene_0263	1936	1617	2250	1928	8729	9768	8404	11164
Gene_0264	25	27	54	40	53	23	42	40
Gene_0265	38	42	25	32	19	31	20	46
Gene_0266	9	5	4	5	3	3	2	2
Gene_0267	174	134	151	200	107	118	125	110
Gene_0268	18532	14343	14145	11639	3774	5930	3453	3740
Gene_0269	80	76	69	87	143	60	74	70
Gene_0270	1695	1418	1724	2127	1408	1655	1772	2129
Gene_0271	9131	11908	9387	7256	5418	9716	8781	9344
Gene_0272	2813	1533	2326	2290	2464	2466	3086	2348
Gene_0273	21	25	11	10	13	29	20	24
Gene_0274	0	0	0	0	2	0	0	0
Gene_0275	1001	1153	773	1075	688	1089	1063	979
Gene_0276	1086	1252	1228	1284	740	1464	850	928
Gene_0277	360	305	296	435	434	211	319	344
Gene_0278	4	2	2	2	2	2	6	3
Gene_0279	1	3	1	4	4	0	0	3
Gene_0280	2119	1648	2177	1840	1608	1749	2703	1504
Gene_0281	169049	129432	177293	144674	113252	77626	157210	137654
Gene_0282	232	436	374	276	318	322	306	277
Gene_0283	142	201	154	186	117	148	232	145
Gene_0284	423	347	411	400	368	320	209	275
Gene_0285	377	325	321	392	388	308	376	428
Gene_0286	196	156	214	221	234	305	279	170
Gene_0287	26	17	35	36	31	29	25	41
Gene_0288	1048	1560	1128	1296	2018	1056	2522	1663
Gene_0289	8	9	7	6	30	29	26	45
Gene_0290	185	207	177	216	323	304	270	161
Gene_0291	10	13	3	9	34	48	25	47
Gene_0292	10	8	8	7	12	7	11	5
Gene_0293	6922	3971	6330	4214	1889	1706	1847	2111
Gene_0294	59	28	39	31	21	42	18	38
Gene_0295	1554	2406	1843	2803	1889	1445	2990	2566
Gene_0296	49	33	31	50	37	38	21	29
Gene_0297	0	0	0	0	0	0	0	0
Gene_0298	819	824	620	487	735	758	625	947
Gene_0299	0	4	2	2	2	4	2	2
Gene_0300	858	493	978	1009	1093	339	647	660
Gene_0301	15	7	11	21	15	8	12	13
Gene_0302	1835	1412	1608	2295	12144	8243	6932	10400
Gene_0303	132	64	116	117	165	120	76	115
Gene_0304	392	565	694	808	585	740	574	545
Gene_0305	3	6	4	3	2	9	4	3
Gene_0306	1	4	2	0	2	3	4	4
Gene_0307	0	5	3	2	3	3	3	2
Gene_0308	1	1	1	2	0	1	2	0
Gene_0309	31	28	40	36	33	32	49	30
Gene_0310	11	4	8	11	13	10	12	11
Gene_0311	302	396	183	278	256	288	385	243
Gene_0312	218	189	247	292	208	313	364	207
Gene_0313	103	247	166	172	72	83	56	96
Gene_0314	7	12	8	14	7	10	9	7
Gene_0315	3671	3589	4008	4951	3634	4468	3823	2724
Gene_0316	1276	932	1033	922	1257	1012	718	1273
Gene_0317	274	182	443	262	343	369	318	270
Gene_0318	3410	4731	6422	4510	7574	4974	3915	6367
Gene_0319	40	33	38	34	48	53	35	21
Gene_0320	5	2	3	2	2	2	3	4
Gene_0321	1737	1990	2114	1540	1376	1696	1923	2838
Gene_0322	26	29	23	28	29	25	27	21
Gene_0323	98	127	76	169	112	103	131	120
Gene_0324	184	215	120	211	223	254	204	203
Gene_0325	0	0	0	0	0	1	0	1
Gene_0326	3050	2384	1758	2554	414	666	642	777
Gene_0327	90	86	121	122	227	136	115	138
Gene_0328	35	46	38	28	50	33	36	40
Gene_0329	8	3	8	5	10	8	8	10
Gene_0330	985	1759	828	1024	1097	694	720	654
Gene_0331	138	168	223	142	176	118	244	178
Gene_0332	54	105	81	90	65	77	81	86
Gene_0333	49	43	29	56	39	30	64	39
Gene_0334	18	18	46	37	22	39	38	35
Gene_0335	0	1	2	0	1	0	0	1
Gene_0336	80	152	83	170	153	95	113	96
Gene_0337	0	1	0	0	1	0	0	0
Gene_0338	7197	10789	12002	10907	6847	13352	9075	6813
Gene_0339	0	0	0	0	0	0	0	0
Gene_0340	17869	11999	15489	14586	12634	13786	20129	14016
Gene_0341	252	243	285	292	86	71	117	86
Gene_0342	396	281	510	357	267	452	660	343
Gene_0343	6004	4940	5300	5778	8044	6530	4895	6747
Gene_0344	1400	2061	1684	1025	913	684	636	414
Gene_0345	41	42	37	53	50	39	30	70
Gene_0346	196	160	150	171	260	207	182	222
Gene_0347	1996	5731	4508	3577	3318	4325	5558	3458
Gene_0348	4	1	1	4	1	3	5	1
Gene_0349	0	0	1	1	1	0	0	1
Gene_0350	0	0	0	0	0	1	1	0
Gene_0351	942	629	822	823	915	917	717	899
Gene_0352	1854	2244	3016	2395	1483	2861	2547	3109
Gene_0353	5902	4836	5707	6366	4149	6955	5742	4963
Gene_0354	519	475	726	457	475	659	373	500
Gene_0355	756	489	767	641	668	525	871	745
Gene_0356	36	18	51	49	127	129	120	107
Gene_0357	431	295	415	388	533	532	368	254
Gene_0358	31	20	27	31	23	15	38	38
Gene_0359	2296	5113	3091	3392	4924	5659	6171	4282
Gene_0360	975	906	638	1004	2854	3635	3847	3808
Gene_0361	112	142	96	133	129	106	105	94
Gene_0362	5	7	7	7	22	17	23	28
Gene_0363	56847	44676	33985	40156	45644	25139	31266	33153
Gene_0364	223	438	443	353	318	348	373	332
Gene_0365	370	346	282	324	369	289	326	376
Gene_0366	0	0	0	1	0	0	0	0
Gene_0367	145	149	118	176	167	98	109	112
Gene_0368	2	2	6	8	2	5	4	9
Gene_0369	3743	2832	2266	2167	9359	11028	6652	8923
Gene_0370	3743	5934	6407	6180	5607	4576	6396	6533
Gene_0371	2	8	11	7	5	2	4	6
Gene_0372	226	233	218	228	183	207	146	212
Gene_0373	261	288	323	271	303	385	195	446
Gene_0374	170	103	102	126	100	135	117	144
Gene_0375	61	68	68	71	57	37	50	52
Gene_0376	159	141	122	180	211	123	131	159
Gene_0377	1701	1518	1651	1636	1920	2786	1812	1501
Gene_0378	18	12	24	16	36	13	17	28
Gene_0379	4135	4105	3079	2828	1032	1130	984	933
Gene_0380	1009	470	622	912	737	610	515	565
Gene_0381	0	2	2	0	0	1	0	0
Gene_0382	473	396	666	448	586	453	475	880
Gene_0383	240	174	174	212	915	997	1254	1061
Gene_0384	4	6	5	11	4	3	7	5
Gene_0385	3853	3500	3174	2574	2944	4747	4308	4417
Gene_0386	12	4	17	2	11	7	7	10
Gene_0387	59345	61976	48559	55322	51302	46400	99541	55453
Gene_0388	173	154	176	119	170	123	122	151
Gene_0389	64	73	65	55	74	59	56	47
Gene_0390	121	78	112	101	71	81	62	61
Gene_0391	155	119	319	225	264	188	230	142
Gene_0392	1	3	5	6	2	0	3	2
Gene_0393	1	0	1	0	1	0	0	1
Gene_0394	576	529	516	640	707	663	644	430
Gene_0395	14	38	28	20	29	21	18	26
Gene_0396	1506	1562	1578	1223	1777	1197	1382	1207
Gene_0397	7	4	8	10	6	7	4	7
Gene_0398	27	24	23	21	104	133	174	101
Gene_0399	6	9	3	4	14	6	6	13
Gene_0400	75	101	62	69	123	84	100	67
Gene_0401	1398	1626	1005	750	1339	1337	916	823
Gene_0402	1307	1352	1231	1551	600	450	441	478
Gene_0403	242	395	264	293	255	265	409	214
Gene_0404	10	17	10	18	16	20	13	12
Gene_0405	2739	2619	2656	1947	2226	2623	3534	2476
Gene_0406	39	49	22	33	25	31	23	59
Gene_0407	91	55	98	99	104	101	89	100
Gene_0408	202	148	146	132	69	51	56	47
Gene_0409	182	277	153	297	275	220	231	376
Gene_0410	325	481	239	271	291	356	230	386
Gene_0411	64	31	38	44	35	21	47	35
Gene_0412	290	289	337	361	313	311	280	420
Gene_0413	55	44	57	67	47	51	45	54
Gene_0414	4998	5297	8144	6639	7269	8931	7095	8197
Gene_0415	340	599	330	425	372	496	257	369
Gene_0416	13	22	18	30	28	12	14	12
Gene_0417	33	60	73	29	60	58	55	51
Gene_0418	16	15	16	21	31	17	19	16
Gene_0419	2953	4888	3238	2616	4488	3485	3776	4512
Gene_0420	72	81	35	79	246	203	212	192
Gene_0421	3226	3787	3806	2682	2174	3391	3016	3408
Gene_0422	41	60	60	28	38	75	54	28
Gene_0423	1032	1032	1059	1375	506	690	232	640
Gene_0424	29	25	30	12	95	76	96	84
Gene_0425	991	1052	761	1009	1165	1044	729	802
Gene_0426	2658	3362	2850	2362	3169	4166	2866	4106
Gene_0427	185	155	182	82	348	579	500	575
Gene_0428	10	18	13	7	13	10	16	11
Gene_0429	11458	5218	7950	6706	27769	23636	37702	28370
Gene_0430	312	325	344	380	311	309	336	355
Gene_0431	233	244	195	323	409	288	227	215
Gene_0432	282	631	369	430	690	550	380	558
Gene_0433	611	591	614	602	361	212	365	290
Gene_0434	37	85	37	40	36	36	89	96
Gene_0435	3423	2700	3981	2359	3226	5751	2439	1756
Gene_0436	2	1	2	2	1	4	3	2
Gene_0437	2721	3050	3624	1515	1739	2668	2433	1665
Gene_0438	54	57	37	50	50	35	36	22
Gene_0439	14	9	31	27	11	10	12	16
Gene_0440	45	36	60	40	161	291	237	199
Gene_0441	33	71	33	36	55	48	25	49
Gene_0442	833	626	816	929	1004	1120	963	757
Gene_0443	87	65	83	118	88	105	69	78
Gene_0444	33076	32779	49320	38050	33997	29476	24169	27014
Gene_0445	155	51	179	112	120	81	104	103
Gene_0446	53	44	89	41	51	63	68	72
Gene_0447	0	0	0	0	0	0	0	1
Gene_0448	1	4	4	1	2	3	4	4
Gene_0449	288	295	422	532	287	438	275	303
Gene_0450	875	950	1255	1330	1249	1529	601	999
Gene_0451	637	406	944	814	884	688	645	859
Gene_0452	63	90	76	60	16	23	15	19
Gene_0453	2	2	2	3	5	1	0	0
Gene_0454	9	5	10	6	3	6	4	6
Gene_0455	2	0	0	1	1	0	0	1
Gene_0456	136	159	147	97	123	107	204	126
Gene_0457	0	0	5	3	3	4	4	3
Gene_0458	427	307	318	408	228	304	489	314
Gene_0459	1865	1984	2025	2309	2371	2225	1854	2063
Gene_0460	2469	2258	1835	1704	1736	1529	3009	3202
Gene_0461	44	20	23	22	59	41	38	34
Gene_0462	2	5	4	3	3	7	3	3
Gene_0463	1208	1626	1474	1713	1955	1379	1594	1479
Gene_0464	1917	2129	1430	1483	1222	553	963	673
Gene_0465	3	5	9	2	7	3	13	5
Gene_0466	43	65	39	46	50	29	50	51
Gene_0467	3	1	0	0	7	6	7	8
Gene_0468	123	146	99	92	122	173	152	134
Gene_0469	2940	3990	2363	2740	3255	2440	2879	2180
Gene_0470	155	263	323	225	350	221	277	457
Gene_0471	188979	179093	166421	177689	259386	89661	136296	156284
Gene_0472	132	62	74	97	96	90	71	55
Gene_0473	0	2	2	1	1	1	2	0
Gene_0474	9	4	1	6	2	3	2	3
Gene_0475	269	259	298	447	497	303	378	359
Gene_0476	93	43	83	83	214	310	215	264
Gene_0477	1	2	0	2	0	0	1	0
Gene_0478	639	711	537	431	615	579	494	574
Gene_0479	1608	1779	1317	767	1616	1229	1166	1084
Gene_0480	6	6	10	8	3	8	6	3
Gene_0481	6	1	9	5	2	9	4	6
Gene_0482	195	171	172	238	162	166	172	251
Gene_0483	32	36	34	21	35	34	34	23
Gene_0484	1	0	4	4	1	1	2	1
Gene_0485	1579	1456	1358	1877	2113	2098	2015	1796
Gene_0486	430	533	384	420	207	202	177	143
Gene_0487	4	1	5	3	5	7	5	9
Gene_0488	72	41	55	53	52	48	52	60
Gene_0489	19	31	24	23	6	10	17	9
Gene_0490	0	0	0	0	0	1	0	1
Gene_0491	483	407	454	213	335	413	368	313
Gene_0492	0	0	0	1	2	1	1	0
Gene_0493	8	12	13	10	24	11	10	9
Gene_0494	5387	3398	4918	4525	4649	5303	5219	4772
Gene_0495	13	13	7	12	17	16	23	11
Gene_0496	901	958	1366	929	1266	1134	1019	889
Gene_0497	6	4	10	3	6	3	8	4
Gene_0498	28640	28952	21114	33414	33710	52572	63414	44114
Gene_0499	4378	4102	5394	4919	15084	15075	15499	18172
Gene_0500	5	10	7	7	6	7	6	4
Gene_0501	31	24	29	28	37	50	22	21
Gene_0502	14	7	6	19	10	11	9	24
Gene_0503	49	74	56	73	153	183	282	182
Gene_0504	81	171	166	130	127	131	104	119
Gene_0505	275	197	142	158	275	197	188	107
Gene_0506	5	2	3	0	1	2	0	1
Gene_0507	42800	47194	74345	56957	39590	63221	36324	40895
Gene_0508	7	2	4	1	2	3	1	5
Gene_0509	133	175	131	163	791	513	493	916
Gene_0510	1	1	7	2	4	2	3	2
Gene_0511	4	2	3	4	4	5	3	1
Gene_0512	7	15	14	14	15	9	10	10
Gene_0513	1237	1192	1150	1054	938	1178	1069	1583
Gene_0514	450	768	939	704	3185	2068	3200	3052
Gene_0515	2	3	2	3	2	4	3	7
Gene_0516	415	452	545	480	1740	1573	1378	1146
Gene_0517	1	1	1	0	0	1	1	0
Gene_0518	77	63	83	99	78	64	57	66
Gene_0519	2	3	2	3	2	2	1	5
Gene_0520	12	7	9	2	6	4	4	9
Gene_0521	73	85	53	56	71	42	53	34
Gene_0522	19	19	20	19	12	14	23	25
Gene_0523	0	1	0	0	0	0	1	0
Gene_0524	28	68	39	20	15	8	13	17
Gene_0525	22	21	19	27	10	22	29	26
Gene_0526	149	118	176	197	196	199	191	139
Gene_0527	189	219	207	245	225	269	136	283
Gene_0528	248	139	323	245	330	229	274	325
Gene_0529	62	53	70	31	91	60	68	55
Gene_0530	6611	5909	6747	10901	4704	7931	5767	5619
Gene_0531	581	555	547	512	638	755	655	995
Gene_0532	1	2	0	0	0	1	0	1
Gene_0533	55	45	44	51	68	52	45	48
Gene_0534	337	287	206	211	199	314	313	387
Gene_0535	572	435	456	200	596	298	322	417
Gene_0536	1889	2673	2023	2761	1868	1770	2175	1967
Gene_0537	50	72	35	50	40	55	49	54
Gene_0538	93	90	76	67	86	58	69	67
Gene_0539	2931	3252	4145	2876	1087	944	1111	707
Gene_0540	48	47	49	36	49	60	31	58
Gene_0541	2	1	0	2	0	0	1	1
Gene_0542	32	28	40	40	45	32	43	40
Gene_0543	0	2	3	2	1	1	3	2
Gene_0544	114	151	84	146	73	70	110	81
Gene_0545	40	35	19	18	26	30	33	38
Gene_0546	442	363	342	518	729	498	493	474
Gene_0547	1088	1157	1022	1154	1265	1222	1156	1078
Gene_0548	433	262	332	409	370	339	404	414
Gene_0549	3	6	10	9	4	8	8	7
Gene_0550	2186	2076	1368	2063	1826	1706	2364	1667
Gene_0551	17	4	13	15	17	13	8	6
Gene_0552	874	810	897	597	864	1027	591	696
Gene_0553	0	0	0	0	0	2	1	2
Gene_0554	3315	6254	5793	4092	5340	3757	3660	5682
Gene_0555	2529	2939	4070	4372	1362	1235	1285	1124
Gene_0556	11302	11605	6084	10416	10476	12720	12347	14232
Gene_0557	1	1	3	2	12	15	26	10
Gene_0558	388	395	346	519	282	394	325	349
Gene_0559	37	33	36	45	23	40	35	41
Gene_0560	77	110	47	88	40	69	57	60
